TIC,stype,inner_key,outer_key,inner_radius,outer_radius,inner_error,outer_error,inner_frac_error,outer_frac_error,period_ratio
92226327,M,256.02,256.01,1.5659937175726129,1.8439453091989408,0.20743896,0.114572965,0.1324647459771059,0.0621346871994666,6.54783550958922
101011575,K,560.01,560.02,2.62025,1.99787,0.21636,0.167093,0.0825722736380116,0.0836355718840565,2.9507811284544467
102840239,K,815.01,815.02,2.62397,2.1838,0.163711,0.168773,0.0623905761117695,0.0772840919498122,65.59619600011855
110795273,K,7504.02,7504.01,2.4850969661439333,2.9723030738404086,0.1440739212950074,0.2616723916766758,0.0579751708918479,0.0880369145326011,2.1311625671559344
130181866,G,1726.01,1726.02,2.2881711022293185,2.5734283075190536,0.15279806,0.30035052,0.0667773751058791,0.1167122158104947,2.89026532957185
142748283,M,2096.01,2096.02,1.6229795698534404,2.0414710435543686,0.20758255,0.18525308,0.1279021337395795,0.0907448972077797,2.047987688351401
143168991,K,7580.02,7580.03,2.266349261955325,2.994852654532641,0.2131164040112131,0.2774996234932814,0.0940351108228322,0.0926588568800845,2.0742463434882588
143168991,K,7580.03,7580.01,2.994852654532641,3.656090803630669,0.2774996234932814,0.3277343195134783,0.0926588568800845,0.0896406399939582,1.5865427909978616
150030205,K,286.01,286.02,1.40246,1.84555,0.0932244,0.14205,0.0664720562440283,0.0769689252526347,8.724373116863736
150151262,K,712.01,712.02,2.24794,2.45531,0.243983,0.262497,0.1085362598645871,0.1069099217614069,5.424106271860718
150151262,K,712.02,712.04,2.45531,2.03857,0.262497,0.226089,0.1069099217614069,0.1109056838862536,1.6410076947872605
158241252,G,4443.01,4443.02,1.7193264817513465,2.2122841046476336,0.13466027,0.36691362,0.0783215238229983,0.1658528482979092,5.572795200624127
160045097,K,1782.02,1782.01,2.1268375105730164,2.470307680061542,0.24079674,0.39980054,0.1132182119240148,0.1618424066066296,2.7269685369990238
160045097,K,1782.01,1782.03,2.470307680061542,2.973753599110588,0.39980054,0.4100799,0.1618424066066296,0.1378997574387634,3.7604417500947527
164767175,G,266.01,266.02,2.083610116223644,1.9806228945079003,0.1334002566701318,0.1373095281821994,0.0640236172935787,0.0693264369320112,1.8235391178418856
167415965,G,214.02,214.01,0.808552,1.57606,0.0723759,0.102251,0.0895129812306444,0.0648776061825057,1.9135494872555692
182992572,K,7665.02,7665.01,1.3246573766882326,2.033099561800282,0.1106502368346974,0.1732262025360442,0.0835312125097082,0.0852030101185279,2.6922634433256394
198390247,K,1453.02,1453.01,1.17405,2.12746,0.0928722,0.149295,0.0791041267407691,0.0701752324368025,1.5274481344880173
219175972,M,2441.02,2441.01,2.031906219779192,2.96983170206523,0.26606938,0.29829437,0.1309456988762571,0.1004415064303358,2.3219171678515864
219508169,K,2016.02,2016.01,2.74738,2.98458,0.185035,0.200667,0.0673496203655846,0.0672345857708622,2.771861821186985
219508169,K,2016.01,2016.03,2.98458,3.23582,0.200667,0.439412,0.0672345857708622,0.1357961814934081,3.71722037076717
219852882,K,1346.02,1346.01,2.523581787134971,2.7049797239581426,0.28278598,0.20770392,0.1120573866246862,0.0767857585623861,3.1224548676585093
230377505,G,1706.01,1706.02,2.07194,1.67743,0.120761,0.138978,0.058284023668639,0.0828517434408589,1.6400402807400962
233617847,G,1440.02,1440.01,1.43332,2.43592,0.137271,0.167012,0.095771356012614,0.0685621859502775,3.353369682184536
259377017,M,270.03,270.01,1.223466617017458,2.407087230875584,0.0722124521354805,0.11973171,0.0590228218171727,0.0497413257252198,1.6846094922881114
